"Artist.Name","Rank","Previous.Rank","Weeks.on.Chart","Views","Weekly.Growth","week","Country","X","isUkraine","sum"
"Artik & Asti",13,19,91,1725832,"20.3%",2019-06-13,"Україна","","ua",65
"Artik & Asti",91,98,85,601858,"6.3%",2019-03-07,"Україна","","ua",65
"Artik & Asti",3,2,107,2878768,"-12.8%",2019-10-03,"Україна","","ua",65
"Artik & Asti",19,12,90,1435054,"-30.1%",2019-06-06,"Україна","","ua",65
"Artik & Asti",60,60,86,742135,"3.5%",2019-01-03,"Україна","","ua",65
"Artik & Asti",18,18,101,1571512,"2.1%",2019-05-02,"Україна","","ua",65
"Artik & Asti",12,10,89,2051865,"11.4%",2019-05-30,"Україна","","ua",65
"Artik & Asti",3,3,101,3095968,"1%",2019-08-22,"Україна","","ua",65
"Asti",12,8,15,1780775,"-17.9%",2019-06-06,"Україна","","ua",18
"Asti",2,6,11,2810168,"22.2%",2019-05-09,"Україна","","ua",18
"Asti",10,11,18,2028247,"-6.8%",2019-06-27,"Україна","","ua",18
"Asti",6,7,9,2394557,"-7.1%",2019-04-25,"Україна","","ua",18
"Asti",11,9,17,2175105,"4.8%",2019-06-20,"Україна","","ua",18
"Asti",12,17,5,1642916,"10%",2019-03-28,"Україна","","ua",18
"Asti",36,NA,1,1055731,"",2019-02-28,"Україна","","ua",18
"Asti",6,6,10,2298929,"-4%",2019-05-02,"Україна","","ua",18
"Asti",7,9,8,2578786,"12.7%",2019-04-18,"Україна","","ua",18
"Asti",11,2,13,1823896,"-40.8%",2019-05-23,"Україна","","ua",18
"Asti",17,42,4,1493644,"68.8%",2019-03-21,"Україна","","ua",18
"Asti",9,12,16,2076399,"16.6%",2019-06-13,"Україна","","ua",18
"Asti",29,12,6,1024481,"-37.6%",2019-04-04,"Україна","","ua",18
"Asti",8,11,14,2169954,"19%",2019-05-30,"Україна","","ua",18
"Asti",42,21,3,884921,"-35.1%",2019-03-14,"Україна","","ua",18
"Asti",21,36,2,1362856,"29.1%",2019-03-07,"Україна","","ua",18
"Asti",2,2,12,3078413,"9.5%",2019-05-16,"Україна","","ua",18
"Asti",9,29,7,2288608,"123.4%",2019-04-11,"Україна","","ua",18
"Boosin",47,55,40,821634,"13.9%",2019-01-03,"Україна","неточно","ua",30
"Boosin",51,50,42,736675,"6%",2019-01-17,"Україна","неточно","ua",30
"Boosin",93,73,59,516031,"-9.4%",2019-05-16,"Україна","неточно","ua",30
"Boosin",59,47,51,718686,"-9.6%",2019-03-21,"Україна","неточно","ua",30
"Boosin",48,59,52,829519,"15.4%",2019-03-28,"Україна","неточно","ua",30
"Boosin",97,97,61,523257,"1.1%",2019-05-30,"Україна","неточно","ua",30
"Boosin",99,94,65,474945,"-5.5%",2019-06-27,"Україна","неточно","ua",30
"Boosin",34,51,46,991382,"27.8%",2019-02-14,"Україна","неточно","ua",30
"Boosin",59,55,54,695346,"-1%",2019-04-11,"Україна","неточно","ua",30
"Boosin",33,34,47,953126,"-3.9%",2019-02-21,"Україна","неточно","ua",30
"Boosin",41,17,49,1028173,"-30.7%",2019-03-07,"Україна","неточно","ua",30
"Boosin",80,59,55,589124,"-15.3%",2019-04-18,"Україна","неточно","ua",30
"Boosin",17,33,48,1483519,"55.6%",2019-02-28,"Україна","неточно","ua",30
"Boosin",85,93,67,493718,"4.8%",2019-07-11,"Україна","неточно","ua",30
"Boosin",73,71,58,569530,"-4.8%",2019-05-09,"Україна","неточно","ua",30
"Boosin",96,NA,70,490172,"",2019-08-01,"Україна","неточно","ua",30
"Boosin",97,93,60,517735,"0.3%",2019-05-23,"Україна","неточно","ua",30
"Boosin",51,39,45,775683,"-5.2%",2019-02-07,"Україна","неточно","ua",30
"Boosin",49,51,43,758099,"2.9%",2019-01-24,"Україна","неточно","ua",30
"Boosin",50,47,41,695225,"-15.4%",2019-01-10,"Україна","неточно","ua",30
"Boosin",94,97,62,497031,"-5%",2019-06-06,"Україна","неточно","ua",30
"Boosin",92,94,63,505525,"1.7%",2019-06-13,"Україна","неточно","ua",30
"Boosin",71,87,57,597959,"7.3%",2019-05-02,"Україна","неточно","ua",30
"Boosin",91,85,68,477171,"-3.4%",2019-07-18,"Україна","неточно","ua",30
"Boosin",55,48,53,702454,"-15.3%",2019-04-04,"Україна","неточно","ua",30
"Boosin",47,41,50,795175,"-22.7%",2019-03-14,"Україна","неточно","ua",30
"Boosin",93,99,66,471295,"-0.8%",2019-07-04,"Україна","неточно","ua",30
"Boosin",87,80,56,557474,"-5.4%",2019-04-25,"Україна","неточно","ua",30
"Boosin",94,92,64,502467,"-0.6%",2019-06-20,"Україна","неточно","ua",30
"Boosin",39,49,44,818305,"7.9%",2019-01-31,"Україна","неточно","ua",30
"Dilemma",66,NA,1,668380,"",2019-03-21,"Україна","","ua",1
"Dilemma",54,NA,1,757912,"",2019-04-25,"Україна","","ua",1
"DSIDE BAND",63,NA,3,626069,"",2019-04-04,"Україна","","ua",1
"DZIDZIO",13,17,120,1685128,"22.7%",2019-01-03,"Україна","","ua",45
"DZIDZIO",38,33,157,865924,"-0.8%",2019-09-19,"Україна","","ua",45
"DZIDZIO",30,33,142,949960,"-3.7%",2019-06-06,"Україна","","ua",45
"DZIDZIO",41,33,133,805521,"-14.4%",2019-04-04,"Україна","","ua",45
"DZIDZIO",34,33,148,898464,"3.5%",2019-07-18,"Україна","","ua",45
"DZIDZIO",37,37,153,853511,"1.1%",2019-08-22,"Україна","","ua",45
"DZIDZIO",35,38,146,846069,"-3.7%",2019-07-04,"Україна","","ua",45
"DZIDZIO",45,42,155,806168,"-3.1%",2019-09-05,"Україна","","ua",45
"DZIDZIO",23,22,125,1340831,"4.3%",2019-02-07,"Україна","","ua",45
"DZIDZIO",31,29,164,1038022,"-3%",2019-11-07,"Україна","","ua",45
"DZIDZIO",37,38,152,844252,"2.3%",2019-08-15,"Україна","","ua",45
"DZIDZIO",33,30,143,883757,"-7%",2019-06-13,"Україна","","ua",45
"DZIDZIO",34,41,135,971057,"16.6%",2019-04-18,"Україна","","ua",45
"DZIDZIO",41,41,134,832483,"3.3%",2019-04-11,"Україна","","ua",45
"DZIDZIO",33,39,132,941056,"0.9%",2019-03-28,"Україна","","ua",45
"DZIDZIO",23,23,126,1346329,"0.4%",2019-02-14,"Україна","","ua",45
"DZIDZIO",31,34,161,976494,"7.6%",2019-10-17,"Україна","","ua",45
"DZIDZIO",38,34,145,878960,"-10.9%",2019-06-27,"Україна","","ua",45
"DZIDZIO",33,45,156,872739,"8.3%",2019-09-12,"Україна","","ua",45
"DZIDZIO",40,38,150,806668,"-4.7%",2019-08-01,"Україна","","ua",45
"DZIDZIO",38,40,151,825270,"2.3%",2019-08-08,"Україна","","ua",45
"DZIDZIO",30,30,140,988422,"-5.8%",2019-05-23,"Україна","","ua",45
"DZIDZIO",15,13,121,1370749,"-18.7%",2019-01-10,"Україна","","ua",45
"DZIDZIO",19,15,123,1367693,"-2.5%",2019-01-24,"Україна","","ua",45
"DZIDZIO",39,35,159,864840,"-3.6%",2019-10-03,"Україна","","ua",45
"DZIDZIO",32,33,130,1032679,"-7.2%",2019-03-14,"Україна","","ua",45
"DZIDZIO",39,32,131,932368,"-9.7%",2019-03-21,"Україна","","ua",45
"DZIDZIO",30,29,139,1049011,"-0.4%",2019-05-16,"Україна","","ua",45
